,21070,12593,12666,12974,15338,15339,15849,17294,17296,17456,17474,17498,20403,20497,20499,20500,20509,20525,20550,21148,21266,3206,5651,6315,ZINC100199761,ZINC100232131,ZINC142456176,(E)-Nerolidol,ZINC1676040,ZINC175245225,ZINC1846611,ZINC1849759,ZINC2018831,ZINC2600024,ZINC33841709,ZINC3861087,ZINC4098262,ZINC59206468,ZINC59586886,ZINC59778978,ZINC6071066,ZINC62237753,ZINC64634151,ZINC8220462,ZINC8234296,ZINC968471,Unnamed: 47
21070,0.0,0.7969924812030076,0.7996965098634294,0.8072289156626506,0.83994708994709,0.8497536945812808,0.7047872340425532,0.900247320692498,0.9012448132780083,0.9063270336894002,0.8957934990439771,0.9123468426013196,0.3399209486166008,0.7050359712230216,0.6552631578947368,0.7765486725663717,0.48985507246376814,0.24291497975708498,0.26956521739130435,0.08994708994709,0.7663230240549829,0.8514492753623188,0.627039627039627,0.8804878048780488,0.5877192982456141,0.7533512064343164,0.7480916030534353,0.8687943262411348,0.5902777777777778,0.8360655737704918,0.8770764119601329,0.6326530612244898,0.689873417721519,0.9241706161137441,0.824561403508772,0.8577235772357724,0.5018450184501845,0.7147766323024055,0.9607843137254902,0.6829268292682926,0.9383886255924171,0.7340425531914894,0.8369565217391305,0.8407310704960835,0.8585526315789473,0.9587912087912088,
12593,0.7969924812030076,0.0,0.23691860465116277,0.42291371994342286,0.4609004739336493,0.472972972972973,0.6473214285714286,0.7210487982520029,0.7274052478134111,0.7269426289034132,0.7271993543179984,0.7792408985282727,0.7832369942196532,0.5956204379562045,0.621861152141802,0.6130867709815078,0.6993103448275861,0.7875354107648727,0.7994143484626647,0.7953846153846154,0.842962962962963,0.7905073649754502,0.57001414427157,0.6948148148148149,0.8895522388059702,0.7328571428571429,0.8095238095238095,0.8493788819875777,0.7358778625954199,0.724812030075188,0.8069073783359498,0.71850699844479,0.7138461538461539,0.9616,0.7419847328244276,0.8587662337662338,0.7162790697674419,0.7957639939485628,0.9129746835443038,0.7915407854984894,0.8368983957219251,0.8070444104134763,0.742603550295858,0.7467438494934877,0.8223583460949464,0.8905817174515236,
12666,0.7996965098634294,0.23691860465116277,0.0,0.2472266244057052,0.36915297092288246,0.39451728247914186,0.6466165413533835,0.7238860482103726,0.730263157894737,0.7325581395348838,0.7283049472830495,0.7918272937548188,0.787481804949054,0.5818452380952381,0.6063348416289593,0.6239316239316239,0.7027777777777777,0.7865329512893983,0.8002958579881657,0.8018575851393189,0.8355957767722474,0.7873754152823921,0.5177514792899408,0.6847662141779789,0.8829787234042554,0.727536231884058,0.7951219512195122,0.8343949044585988,0.7262830482115086,0.7421289355322339,0.796474358974359,0.700159489633174,0.7098283931357254,0.9627228525121556,0.738390092879257,0.85667215815486,0.7122641509433962,0.7947932618683002,0.9064516129032258,0.7868098159509203,0.842741935483871,0.7987519500780031,0.7372372372372372,0.7359882005899705,0.818040435458787,0.895397489539749,
12974,0.8072289156626506,0.42291371994342286,0.2472266244057052,0.0,0.3187588152327221,0.3478835978835979,0.6655574043261232,0.7498104624715694,0.7536121673003803,0.756797583081571,0.7468030690537084,0.8200803212851406,0.8068181818181819,0.5844370860927153,0.611764705882353,0.5629139072847682,0.7275494672754947,0.7977528089887641,0.8096828046744575,0.8077601410934745,0.8595600676818951,0.7534516765285996,0.5324675324675325,0.6859083191850595,0.8902439024390244,0.7459807073954984,0.8136531365313653,0.7923809523809524,0.7482638888888888,0.7090592334494774,0.7320388349514564,0.6697588126159555,0.6841155234657039,0.9636711281070746,0.6844036697247706,0.8313725490196079,0.7328646748681897,0.8079584775086506,0.8759689922480621,0.8051724137931036,0.8611940298507463,0.7956989247311828,0.7055749128919862,0.7113752122241087,0.7897623400365631,0.8896,
15338,0.83994708994709,0.4609004739336493,0.36915297092288246,0.3187588152327221,0.0,0.1628205128205128,0.7077326343381389,0.6869627507163324,0.689432063263839,0.6928571428571428,0.7017268445839875,0.7664179104477612,0.8217948717948718,0.6346911957950065,0.6693017127799736,0.6047745358090186,0.725,0.8129770992366413,0.8274509803921569,0.8440860215053764,0.8769633507853404,0.8139534883720931,0.5814863102998697,0.7054054054054054,0.8979865771812081,0.7593307593307594,0.8401122019635344,0.8364153627311524,0.7819650067294751,0.7732095490716181,0.7904624277456648,0.7486111111111111,0.747599451303155,0.96875,0.7538035961272476,0.8662790697674418,0.7737127371273713,0.8344459279038718,0.9022988505747127,0.8322237017310253,0.8752969121140143,0.8241758241758241,0.7540322580645162,0.7376171352074967,0.8298755186721992,0.9052369077306734,
15339,0.8497536945812808,0.472972972972973,0.39451728247914186,0.3478835978835979,0.1628205128205128,0.0,0.7202453987730062,0.6755430974071479,0.6779184247538679,0.6767180925666199,0.6858678955453149,0.7509130752373996,0.8240963855421687,0.6485819975339089,0.677819083023544,0.6206467661691542,0.7447552447552448,0.8256227758007118,0.8380024360535931,0.85375,0.8786764705882353,0.8281879194630873,0.6087484811664642,0.7232704402515724,0.9052369077306734,0.7698795180722892,0.853437094682231,0.8395225464190982,0.7944862155388472,0.7246753246753247,0.8064085447263019,0.7590673575129534,0.7595907928388748,0.971090670170828,0.7311258278145696,0.876510067114094,0.7884130982367759,0.8461538461538463,0.9096945551128818,0.8454882571075402,0.8744394618834082,0.8369426751592357,0.7684605757196497,0.7562189054726369,0.8393316195372751,0.9077102803738318,
15849,0.7047872340425532,0.6473214285714286,0.6466165413533835,0.6655574043261232,0.7077326343381389,0.7202453987730062,0.0,0.8418940609951846,0.8462157809983897,0.848,0.848816029143898,0.8743315508021391,0.7611241217798594,0.4906976744186047,0.5342789598108747,0.5577342047930283,0.5450346420323327,0.7342657342657344,0.7229219143576826,0.6908077994428969,0.761904761904762,0.7580174927113703,0.511727078891258,0.6346153846153847,0.7685714285714286,0.473404255319149,0.6512345679012346,0.7558139534883721,0.5285714285714286,0.8369565217391305,0.6413373860182371,0.603825136612022,0.6236842105263158,0.9333333333333333,0.7475490196078431,0.7,0.5492957746478873,0.5918367346938775,0.8421052631578948,0.6045845272206304,0.8395833333333333,0.5661538461538462,0.5680000000000001,0.5673575129533679,0.6820809248554913,0.8755760368663595,
17294,0.900247320692498,0.7210487982520029,0.7238860482103726,0.7498104624715694,0.6869627507163324,0.6755430974071479,0.8418940609951846,0.0,0.06779661016949157,0.4681848626925653,0.5196353436185133,0.6218158066623123,0.8831168831168832,0.8211189913317574,0.8366375892149088,0.8127458693941778,0.8397486252945798,0.8808373590982287,0.8955954323001631,0.9106699751861043,0.9096185737976783,0.9202714164546226,0.7967289719626169,0.853322528363047,0.9394190871369295,0.8677290836653387,0.9191919191919192,0.9148936170212766,0.8845208845208846,0.8718367346938776,0.9135180520570949,0.8758278145695365,0.8677685950413223,0.9810508182601206,0.8758278145695365,0.9409246575342466,0.8836065573770492,0.9035449299258038,0.9492254733218589,0.8984310487200661,0.8348547717842324,0.9112769485903816,0.8793522267206478,0.8608624898291294,0.9141666666666667,0.8638297872340426,
17296,0.9012448132780083,0.7274052478134111,0.730263157894737,0.7536121673003803,0.689432063263839,0.6779184247538679,0.8462157809983897,0.06779661016949157,0.0,0.4779411764705882,0.5193798449612403,0.6238532110091743,0.8858075040783036,0.8215701823949246,0.8381180223285487,0.8168902920284136,0.8393987341772152,0.8843977364591755,0.898360655737705,0.9108333333333334,0.9106844741235393,0.9195893926432849,0.7989045383411582,0.8558631921824105,0.9433333333333334,0.8702962369895917,0.9212531752751906,0.9141630901287554,0.8863261943986821,0.8726376335250617,0.9146238377007608,0.8766666666666667,0.8694929343308396,0.9817708333333334,0.8766666666666667,0.9422413793103449,0.8844884488448845,0.9054726368159204,0.9487847222222223,0.9012448132780083,0.8373644703919934,0.9114452798663325,0.880195599022005,0.8634505314799673,0.9134453781512605,0.8675213675213675,
17456,0.9063270336894002,0.7269426289034132,0.7325581395348838,0.756797583081571,0.6928571428571428,0.6767180925666199,0.848,0.4681848626925653,0.4779411764705882,0.0,0.5630538513974097,0.6237753102547354,0.8900565885206144,0.839035769828927,0.8463356973995272,0.8188235294117647,0.8466353677621283,0.8868378812199037,0.9025182778229083,0.9149463253509497,0.913907284768212,0.9126712328767124,0.8092664092664092,0.8576051779935275,0.9383846794338052,0.8719172633253779,0.9289297658862877,0.9109589041095891,0.8951219512195122,0.8761206193969031,0.9178541492036882,0.8856907894736843,0.881342062193126,0.9810017271157168,0.8680033416875523,0.9362068965517242,0.8969155844155845,0.9167346938775511,0.9472774416594643,0.9099099099099099,0.8056265984654731,0.9173553719008265,0.884491114701131,0.8797113071371292,0.9202657807308972,0.8407310704960835,
